rank,party_name,total_votes,symbol_id,symbol_image_url
1,राष्ट्रिय स्वतन्त्र पार्टी,5183493,2528,https://result.election.gov.np/Images/symbol-hor-pa/2528.jpg?v=0.1
2,नेपाली काँग्रेस,1759172,2583,https://result.election.gov.np/Images/symbol-hor-pa/2583.jpg?v=0.1
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),1455885,2598,https://result.election.gov.np/Images/symbol-hor-pa/2598.jpg?v=0.1
4,नेपाली कम्युनिष्ट पार्टी,811577,2557,https://result.election.gov.np/Images/symbol-hor-pa/2557.jpg?v=0.1
5,श्रम संस्कृति पार्टी,385902,2501,https://result.election.gov.np/Images/symbol-hor-pa/2501.jpg?v=0.1
6,राष्ट्रिय प्रजातन्त्र पार्टी,330684,2604,https://result.election.gov.np/Images/symbol-hor-pa/2604.jpg?v=0.1
7,"जनता समाजवादी पार्टी, नेपाल",182285,2542,https://result.election.gov.np/Images/symbol-hor-pa/2542.jpg?v=0.1
8,राष्ट्रिय परिवर्तन पार्टी,172489,2568,https://result.election.gov.np/Images/symbol-hor-pa/2568.jpg?v=0.1
9,जनमत पार्टी,79435,2585,https://result.election.gov.np/Images/symbol-hor-pa/2585.jpg?v=0.1
10,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",62069,2531,https://result.election.gov.np/Images/symbol-hor-pa/2531.jpg?v=0.1
11,नेपाल मजदुर किसान पार्टी,42299,2578,https://result.election.gov.np/Images/symbol-hor-pa/2578.jpg?v=0.1
12,राष्ट्र निर्माण दल नेपाल,39577,2527,https://result.election.gov.np/Images/symbol-hor-pa/2527.jpg?v=0.1
13,राष्ट्रिय जनमोर्चा,29456,2522,https://result.election.gov.np/Images/symbol-hor-pa/2522.jpg?v=0.1
14,एकल चिन्ह बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),29436,2567,https://result.election.gov.np/Images/symbol-hor-pa/2567.jpg?v=0.1
15,नेपाल जनता संरक्षण पार्टी,28424,2541,https://result.election.gov.np/Images/symbol-hor-pa/2541.jpg?v=0.1
16,प्रगतिशील लोकतान्त्रिक पार्टी,24676,2516,https://result.election.gov.np/Images/symbol-hor-pa/2516.jpg?v=0.1
17,नेपाल कम्युनिस्ट पार्टी (माओवादी),23867,2526,https://result.election.gov.np/Images/symbol-hor-pa/2526.jpg?v=0.1
18,मंगोल नेशनल अर्गनाइजेशन,20829,2511,https://result.election.gov.np/Images/symbol-hor-pa/2511.jpg?v=0.1
19,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),19832,2581,https://result.election.gov.np/Images/symbol-hor-pa/2581.jpg?v=0.1
20,सार्वभौम नागरिक पार्टी,14886,2520,https://result.election.gov.np/Images/symbol-hor-pa/2520.jpg?v=0.1
21,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",10725,2591,https://result.election.gov.np/Images/symbol-hor-pa/2591.jpg?v=0.1
22,संयुक्त नागरिक पार्टी,9142,2521,https://result.election.gov.np/Images/symbol-hor-pa/2521.jpg?v=0.1
23,स्वाभिमान पार्टी,8144,2569,https://result.election.gov.np/Images/symbol-hor-pa/2569.jpg?v=0.1
24,राष्ट्रिय जनमुक्ति पार्टी,7208,2605,https://result.election.gov.np/Images/symbol-hor-pa/2605.jpg?v=0.1
25,नेपाल जनता पार्टी,7164,2507,https://result.election.gov.np/Images/symbol-hor-pa/2507.jpg?v=0.1
26,राष्ट्रिय एकता दल,7071,2548,https://result.election.gov.np/Images/symbol-hor-pa/2548.jpg?v=0.1
27,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),6172,2602,https://result.election.gov.np/Images/symbol-hor-pa/2602.jpg?v=0.1
28,राष्ट्रिय गौरव पार्टी,5250,2558,https://result.election.gov.np/Images/symbol-hor-pa/2558.jpg?v=0.1
29,नेशनल रिपब्लिक नेपाल,5160,2504,https://result.election.gov.np/Images/symbol-hor-pa/2504.jpg?v=0.1
30,गतिशील लोकतान्त्रिक पार्टी,5101,2571,https://result.election.gov.np/Images/symbol-hor-pa/2571.jpg?v=0.1
31,नेपालका लागि नेपाली पार्टी,5019,2524,https://result.election.gov.np/Images/symbol-hor-pa/2524.jpg?v=0.1
